Bairro,Zona,Seções
ABERTA DOS MORROS,161,"[15, 45, 73, 103, 134, 172, 403, 426, 444, 469]"
AGRONOMIA,159,"[10, 20, 42, 85, 90, 120, 145, 162, 176, 185, 214, 226, 284, 323, 473, 495, 39, 49, 110, 154, 164, 207, 295, 317, 516, 527, 536]"
ANCHIETA,111,"[48, 167, 236, 349]"
ARQUIPÉLAGO,1,"[55, 56, 58, 235, 57, 162, 231, 266]"
AUXILIADORA,111,"[14, 16, 21, 57, 61, 81, 84, 93, 103, 123, 242, 249, 256, 264, 127, 132, 163, 168, 177, 188, 204, 225, 229, 241, 263, 275]"
AUXILIADORA,2,"[287, 288, 289, 290, 291, 292, 377]"
AZENHA,1,"[8, 73, 107, 149, 196, 217, 228, 261]"
BELA VISTA,111,"[112, 145, 186, 280, 288]"
BELÉM NOVO,161,"[20, 27, 30, 77, 104, 182, 195, 288, 357, 404, 405, 442, 33, 35, 87, 100, 125, 163, 228, 306, 363, 480, 23, 53, 58, 61, 118, 223, 326, 457]"
BELÉM VELHO,114,"[496, 497, 498, 499, 500, 501, 504, 505, 506, 507, 508, 509, 510, 511, 558]"
BELÉM VELHO,161,"[10, 64, 83, 143, 391, 470, 88, 122, 166]"
BOA VISTA,111,"[25, 76, 114, 219, 269, 286, 341]"
BOA VISTA DO SUL,161,"[124, 151, 119, 175]"
BOM FIM,2,"[27, 68, 80, 110, 118, 230, 242, 256, 21, 50, 93, 125, 145, 202, 243, 372, 7, 37, 51, 69, 115, 154, 187, 189, 194, 195, 203, 389]"
BOM JESUS,113,"[379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 490, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 491, 469, 470, 471, 472, 473, 474, 475, 476, 485, 413, 414, 415, 416, 417, 418, 419, 420, 421, 480, 484]"
CAMAQUÃ,160,"[316, 382, 406, 428, 442, 457, 460, 472, 4, 105, 157, 200, 402, 423, 433, 461, 470, 474, 57, 80, 241, 251, 398, 235, 294, 332, 378, 401, 412, 425, 448]"
CAMPO NOVO,160,"[510, 511, 512, 513, 514, 515, 516, 517, 566]"
CASCATA,114,"[491, 492, 493, 495, 556, 564, 568, 585]"
CAVALHADA,160,"[1, 5, 103, 148, 151, 196, 272, 374, 410, 444, 455, 462, 465, 6, 20, 172, 247, 311, 399, 421, 438, 568, 233, 289, 319, 359, 397, 414, 417, 68, 243, 409, 452, 454, 26, 150, 230, 340, 429, 469, 476, 565]"
CENTRO HISTÓRICO,1,"[16, 60, 89, 121, 148, 179, 208, 221, 244, 320, 4, 23, 50, 53, 63, 92, 93, 123, 136, 150, 155, 163, 175, 186, 214, 12, 71, 226, 247, 264, 31, 61, 90, 125, 146, 171, 209, 33, 42, 77, 80, 129, 137, 183, 188, 28, 37, 52, 116, 153, 160, 10, 24, 44, 64, 94, 97, 227, 263, 29, 98, 177, 238, 239, 15, 103, 187, 215, 237, 41, 181, 224, 109, 151, 194, 74, 88, 127, 130, 190, 25, 78, 131, 250, 17, 69, 105, 139, 173, 312, 47, 49, 141, 212, 213, 230, 104, 133, 154, 157, 185, 189, 201, 319, 11, 18, 45, 143, 182, 43, 46, 126, 180, 13, 35, 86, 102, 142, 166, 197, 313, 38, 51, 152, 159, 241]"
CHAPÉU DO SOL,161,"[120, 132, 1, 76, 136, 167, 427, 477]"
